"genes"	"modules"
"2268"	"M1"
"2375"	"M1"
"14080"	"M1"
"15257"	"M1"
"9852"	"M3"
"16214"	"M1"
"4316"	"M2"
"6512"	"M3"
"14911"	"M1"
"16044"	"M3"
"9043"	"M1"
"7881"	"M1"
"3042"	"M1"
"1824"	"M1"
"15577"	"M6"
"4311"	"M4"
"11115"	"M3"
"4320"	"M1"
"9722"	"M5"
"1865"	"M5"
"9311"	"M3"
"1931"	"M1"
"3190"	"M4"
"9596"	"M1"
"4898"	"M1"
"1254"	"M1"
"10211"	"M1"
"16353"	"M4"
"7134"	"M1"
"3474"	"M1"
"10297"	"M1"
"5793"	"M1"
"3362"	"M4"
"8261"	"M1"
"9107"	"M3"
"14460"	"M3"
"11939"	"M1"
"13112"	"M7"
"9260"	"M1"
"1789"	"M3"
"4409"	"M1"
"5130"	"M4"
"16642"	"M5"
"12600"	"M1"
"12886"	"M1"
"4445"	"M1"
"5240"	"M2"
"8153"	"M1"
"10097"	"M1"
"13740"	"M1"
"4341"	"M4"
"1"	"M1"
"11748"	"M1"
"16079"	"M1"
"2392"	"M1"
"13267"	"M1"
"5881"	"M5"
"11556"	"M1"
"12069"	"M1"
"13360"	"M4"
"2758"	"M1"
"11273"	"M7"
"6723"	"M1"
"6295"	"M1"
"14754"	"M1"
"7003"	"M6"
"2855"	"M1"
"917"	"M7"
"1466"	"M1"
"12138"	"M7"
"896"	"M1"
"14324"	"M1"
"12160"	"M4"
"3790"	"M3"
"11189"	"M6"
"6004"	"M1"
"2177"	"M4"
"8847"	"M1"
"9153"	"M1"
"14026"	"M1"
"11965"	"M1"
"9819"	"M3"
"12728"	"M6"
"11585"	"M2"
"2642"	"M7"
"8337"	"M1"
"805"	"M6"
"8151"	"M1"
"8535"	"M1"
"2421"	"M1"
"7423"	"M2"
"11638"	"M1"
"8969"	"M7"
"10442"	"M8"
"11024"	"M1"
"408"	"M1"
"7315"	"M7"
"13062"	"M1"
"15033"	"M1"
"8803"	"M1"
"3026"	"M3"
"11286"	"M1"
"7745"	"M1"
"10177"	"M1"
"15451"	"M1"
"12723"	"M4"
"7340"	"M1"
"15545"	"M1"
"5613"	"M1"
"3953"	"M1"
"15367"	"M1"
"10388"	"M1"
"12639"	"M3"
"7880"	"M1"
"14629"	"M1"
"12257"	"M1"
"12626"	"M1"
"806"	"M6"
"6685"	"M1"
"14235"	"M1"
"4952"	"M2"
"15154"	"M1"
"5211"	"M5"
"7372"	"M2"
"6579"	"M2"
"3773"	"M8"
"15290"	"M1"
"16659"	"M1"
"10385"	"M1"
"7185"	"M1"
"2258"	"M4"
"14824"	"M5"
"7064"	"M1"
"5330"	"M2"
"2783"	"M1"
"4401"	"M1"
"8615"	"M6"
"10924"	"M6"
"3233"	"M1"
"7213"	"M6"
"322"	"M2"
"14556"	"M1"
"7161"	"M5"
"15879"	"M1"
"12208"	"M3"
"7582"	"M1"
"12801"	"M2"
"13390"	"M7"
"5748"	"M1"
"7615"	"M1"
"15755"	"M5"
"12939"	"M1"
"11157"	"M1"
"2168"	"M5"
"8957"	"M1"
"13323"	"M1"
"2956"	"M1"
"9973"	"M1"
"10554"	"M3"
"14095"	"M1"
"11723"	"M1"
"681"	"M1"
"14332"	"M1"
"748"	"M2"
"3931"	"M1"
"16283"	"M1"
"96"	"M4"
"1840"	"M1"
"7570"	"M1"
"10984"	"M3"
"4733"	"M1"
"1152"	"M1"
"1878"	"M6"
"11777"	"M3"
"7310"	"M1"
"10792"	"M1"
"8787"	"M2"
"10590"	"M8"
"13852"	"M2"
"8737"	"M3"
"1298"	"M1"
"5941"	"M2"
"6546"	"M1"
"1816"	"M1"
"13960"	"M1"
"2550"	"M1"
"13326"	"M8"
"9341"	"M5"
"5271"	"M1"
"7774"	"M1"
"1736"	"M1"
"14417"	"M5"
"12722"	"M1"
"10571"	"M6"
"2678"	"M1"
"11497"	"M1"
"7996"	"M1"
"14236"	"M2"
"12986"	"M1"
"2820"	"M1"
"15581"	"M1"
"10305"	"M1"
"11480"	"M7"
"15107"	"M1"
"6713"	"M1"
"2108"	"M1"
"1411"	"M2"
"12473"	"M1"
"6680"	"M8"
"9200"	"M1"
"13459"	"M1"
"13181"	"M2"
"4422"	"M1"
"412"	"M1"
"16486"	"M2"
"3595"	"M1"
"16127"	"M1"
"9247"	"M7"
"9785"	"M1"
"14905"	"M1"
"5897"	"M2"
"1222"	"M1"
"11346"	"M1"
"11445"	"M6"
"14776"	"M1"
"14579"	"M4"
"3136"	"M1"
"16013"	"M4"
"5205"	"M1"
"4510"	"M7"
"9420"	"M1"
"12091"	"M1"
"5878"	"M3"
"11549"	"M1"
"13536"	"M1"
"7208"	"M1"
"611"	"M1"
"13093"	"M3"
"13939"	"M1"
"1484"	"M3"
"10164"	"M1"
"2666"	"M1"
"14047"	"M5"
"16390"	"M3"
"5596"	"M2"
"10662"	"M1"
"15885"	"M7"
"7505"	"M1"
"8727"	"M3"
"8009"	"M4"
"2216"	"M1"
"11071"	"M6"
"754"	"M2"
"3629"	"M1"
"42"	"M1"
"10391"	"M1"
"431"	"M1"
"11978"	"M5"
"3827"	"M2"
"9013"	"M5"
"6801"	"M1"
"10597"	"M1"
"10174"	"M1"
"9833"	"M1"
"16298"	"M4"
"12464"	"M7"
"8989"	"M4"
"9708"	"M2"
"13590"	"M1"
"9075"	"M1"
"10644"	"M8"
"15086"	"M1"
"12794"	"M1"
"2085"	"M1"
"1569"	"M6"
"5458"	"M7"
"2317"	"M3"
"9792"	"M1"
"11079"	"M1"
"4007"	"M1"
"4540"	"M1"
"964"	"M1"
"4735"	"M1"
"9998"	"M2"
"12036"	"M1"
"7142"	"M1"
"5417"	"M1"
"9018"	"M1"
"5443"	"M1"
"14928"	"M8"
"2281"	"M6"
"15554"	"M1"
